Chargeback Date,Chargeback ID,Amount,Business Unit,Product,Reason Code,Status
2022-01-14,CB-1000010,378.06,Enterprise,Cloud Services,4837,Lost
2022-01-14,CB-1000067,124.31,Consumer,Streaming Add-on,4871,Won
2022-01-14,CB-1000071,326.05,Consumer,Streaming Add-on,4837,Pending
2022-01-14,CB-1000073,179.03,Consumer,Streaming Add-on,4871,Pending
2022-01-14,CB-1000076,237.73,Consumer,Streaming Add-on,4855,Open
2022-01-14,CB-1000100,334.42,Wholesale,Bulk Voice,4863,Won
2022-01-15,CB-1000012,433.86,Enterprise,Cloud Services,4863,Won
2022-01-15,CB-1000017,555.21,Enterprise,Cloud Services,4837,Won
2022-01-15,CB-1000030,288.08,Enterprise,Managed Support,4863,Lost
2022-01-15,CB-1000074,220.93,Consumer,Streaming Add-on,4837,Won
2022-01-15,CB-1000094,635.83,Wholesale,Bulk Voice,4870,Lost
2022-01-16,CB-1000025,577.88,Enterprise,Managed Support,4837,Won
2022-01-16,CB-1000034,521.51,Enterprise,Managed Support,4863,Open
2022-01-16,CB-1000086,177.91,Consumer,Device Protection,4837,Pending
2022-01-16,CB-1000103,205.90,Wholesale,Bulk Voice,4863,Open
2022-01-16,CB-1000113,590.91,Wholesale,Partner Resale,4870,Won
2022-01-17,CB-1000041,331.86,Enterprise,Platform API,4871,Won
2022-01-17,CB-1000060,192.84,Consumer,Mobile Plans,4870,Won
2022-01-17,CB-1000092,548.81,Wholesale,Bulk Voice,7030,Open
2022-01-17,CB-1000129,406.70,Wholesale,IoT SIM,4863,Lost
2022-01-18,CB-1000083,218.04,Consumer,Device Protection,4837,Won
2022-01-18,CB-1000104,175.65,Wholesale,Bulk Voice,4855,Won
2022-01-18,CB-1000127,218.03,Wholesale,IoT SIM,4871,Lost
2022-01-19,CB-1000038,496.61,Enterprise,Platform API,4871,Won
2022-01-19,CB-1000053,207.66,Consumer,Mobile Plans,4863,Won
2022-01-19,CB-1000078,132.21,Consumer,Device Protection,4837,Lost
2022-01-19,CB-1000082,202.49,Consumer,Device Protection,4870,Won
2022-01-19,CB-1000097,306.43,Wholesale,Bulk Voice,4837,Lost
2022-01-20,CB-1000005,864.40,Enterprise,Cloud Services,4870,Pending
2022-01-20,CB-1000013,398.32,Enterprise,Cloud Services,4855,Won
2022-01-20,CB-1000051,416.27,Consumer,Mobile Plans,7030,Lost
2022-01-20,CB-1000055,407.55,Consumer,Mobile Plans,7030,Lost
2022-01-20,CB-1000068,158.79,Consumer,Streaming Add-on,4863,Lost
2022-01-20,CB-1000102,403.67,Wholesale,Bulk Voice,4871,Won
2022-01-21,CB-1000006,583.89,Enterprise,Cloud Services,4863,Won
2022-01-21,CB-1000018,542.59,Enterprise,Cloud Services,4871,Won
2022-01-21,CB-1000027,239.67,Enterprise,Managed Support,4855,Won
2022-01-21,CB-1000061,167.30,Consumer,Mobile Plans,7030,Won
2022-01-21,CB-1000125,208.92,Wholesale,IoT SIM,4837,Pending
2022-01-22,CB-1000020,463.74,Enterprise,Managed Support,4855,Lost
2022-01-22,CB-1000045,293.69,Enterprise,Platform API,4863,Lost
2022-01-22,CB-1000050,111.76,Consumer,Mobile Plans,4863,Lost
2022-01-22,CB-1000093,316.43,Wholesale,Bulk Voice,4837,Won
2022-01-22,CB-1000126,160.73,Wholesale,IoT SIM,4871,Won
2022-01-23,CB-1000035,544.09,Enterprise,Managed Support,4855,Lost
2022-01-23,CB-1000087,103.81,Consumer,Device Protection,4871,Won
2022-01-23,CB-1000099,428.04,Wholesale,Bulk Voice,4855,Lost
2022-01-23,CB-1000109,405.62,Wholesale,Partner Resale,4855,Lost
2022-01-23,CB-1000111,306.91,Wholesale,Partner Resale,4871,Lost
2022-01-24,CB-1000014,436.54,Enterprise,Cloud Services,4863,Pending
2022-01-24,CB-1000021,864.55,Enterprise,Managed Support,7030,Won
2022-01-24,CB-1000059,223.75,Consumer,Mobile Plans,4855,Lost
2022-01-24,CB-1000072,111.26,Consumer,Streaming Add-on,4855,Lost
2022-01-24,CB-1000084,160.34,Consumer,Device Protection,4871,Lost
2022-01-24,CB-1000112,420.46,Wholesale,Partner Resale,4855,Open
2022-01-24,CB-1000119,475.49,Wholesale,Partner Resale,4863,Pending
2022-01-25,CB-1000066,322.14,Consumer,Streaming Add-on,7030,Won
2022-01-25,CB-1000098,324.40,Wholesale,Bulk Voice,4863,Pending
2022-01-25,CB-1000105,254.08,Wholesale,Bulk Voice,4870,Lost
2022-01-26,CB-1000052,330.50,Consumer,Mobile Plans,7030,Lost
2022-01-26,CB-1000089,227.43,Consumer,Device Protection,4870,Won
2022-01-26,CB-1000130,334.64,Wholesale,IoT SIM,4863,Won
2022-01-27,CB-1000024,337.35,Enterprise,Managed Support,7030,Won
2022-01-27,CB-1000032,434.50,Enterprise,Managed Support,4871,Pending
2022-01-27,CB-1000088,184.48,Consumer,Device Protection,4863,Open
2022-01-27,CB-1000128,167.28,Wholesale,IoT SIM,4871,Won
2022-01-28,CB-1000003,530.29,Enterprise,Cloud Services,4863,Lost
2022-01-28,CB-1000011,624.22,Enterprise,Cloud Services,4870,Won
2022-01-28,CB-1000075,179.43,Consumer,Streaming Add-on,4870,Lost
2022-01-28,CB-1000110,484.47,Wholesale,Partner Resale,4837,Won
2022-01-28,CB-1000118,297.44,Wholesale,Partner Resale,4870,Lost
2022-01-28,CB-1000123,184.91,Wholesale,Partner Resale,4855,Pending
2022-01-29,CB-1000091,174.92,Wholesale,Bulk Voice,4871,Open
2022-01-30,CB-1000016,409.76,Enterprise,Cloud Services,4863,Won
2022-01-30,CB-1000081,267.32,Consumer,Device Protection,4863,Lost
2022-01-31,CB-1000048,283.98,Consumer,Mobile Plans,4837,Won
2022-01-31,CB-1000058,170.25,Consumer,Mobile Plans,4870,Open
2022-01-31,CB-1000120,350.66,Wholesale,Partner Resale,4837,Open
2022-01-31,CB-1000122,215.97,Wholesale,Partner Resale,4870,Pending
2022-02-01,CB-1000137,361.93,Enterprise,Cloud Services,7030,Pending
2022-02-01,CB-1000166,793.98,Enterprise,Managed Support,4870,Won
2022-02-01,CB-1000175,680.31,Enterprise,Platform API,4870,Lost
2022-02-01,CB-1000185,485.26,Enterprise,Platform API,4871,Won
2022-02-01,CB-1000234,238.63,Consumer,Device Protection,4855,Open
2022-02-01,CB-1000241,571.37,Wholesale,Bulk Voice,4837,Open
2022-02-02,CB-1000195,292.54,Consumer,Mobile Plans,4870,Won
2022-02-02,CB-1000271,509.85,Wholesale,IoT SIM,4863,Won
2022-02-02,CB-1000278,225.00,Wholesale,IoT SIM,4837,Pending
2022-02-03,CB-1000164,941.90,Enterprise,Managed Support,7030,Lost
2022-02-03,CB-1000182,355.48,Enterprise,Platform API,4837,Won
2022-02-03,CB-1000247,261.35,Wholesale,Bulk Voice,4870,Won
2022-02-03,CB-1000262,358.14,Wholesale,Partner Resale,4855,Won
2022-02-04,CB-1000148,386.13,Enterprise,Cloud Services,4871,Won
2022-02-04,CB-1000158,272.84,Enterprise,Managed Support,4871,Lost
2022-02-05,CB-1000157,548.99,Enterprise,Managed Support,4870,Won
2022-02-05,CB-1000179,334.90,Enterprise,Platform API,7030,Lost
2022-02-05,CB-1000203,164.72,Consumer,Mobile Plans,4837,Lost
2022-02-05,CB-1000207,192.41,Consumer,Streaming Add-on,4871,Won
2022-02-05,CB-1000213,121.54,Consumer,Streaming Add-on,4855,Lost
2022-02-05,CB-1000217,210.49,Consumer,Streaming Add-on,7030,Lost
2022-02-05,CB-1000223,123.59,Consumer,Device Protection,4863,Won
2022-02-05,CB-1000256,433.76,Wholesale,Partner Resale,7030,Won
2022-02-05,CB-1000263,581.95,Wholesale,Partner Resale,4870,Lost
2022-02-06,CB-1000197,279.87,Consumer,Mobile Plans,4863,Won
2022-02-06,CB-1000225,269.41,Consumer,Device Protection,7030,Won
2022-02-06,CB-1000231,243.11,Consumer,Device Protection,7030,Lost
2022-02-06,CB-1000245,357.50,Wholesale,Bulk Voice,4863,Won
2022-02-06,CB-1000258,353.42,Wholesale,Partner Resale,4871,Won
2022-02-07,CB-1000138,569.94,Enterprise,Cloud Services,4837,Pending
2022-02-07,CB-1000139,348.85,Enterprise,Cloud Services,4863,Won
2022-02-07,CB-1000155,492.51,Enterprise,Managed Support,7030,Pending
2022-02-07,CB-1000159,358.83,Enterprise,Managed Support,4871,Lost
2022-02-07,CB-1000163,670.70,Enterprise,Managed Support,4863,Pending
2022-02-07,CB-1000181,674.46,Enterprise,Platform API,7030,Won
2022-02-07,CB-1000190,328.19,Consumer,Mobile Plans,4837,Lost
2022-02-07,CB-1000214,326.11,Consumer,Streaming Add-on,4837,Lost
2022-02-07,CB-1000232,149.11,Consumer,Device Protection,4855,Won
2022-02-07,CB-1000233,212.90,Consumer,Device Protection,7030,Won
2022-02-07,CB-1000265,351.28,Wholesale,Partner Resale,4837,Lost
2022-02-07,CB-1000268,365.55,Wholesale,Partner Resale,4871,Lost
2022-02-08,CB-1000188,277.73,Consumer,Mobile Plans,4863,Won
2022-02-09,CB-1000264,566.08,Wholesale,Partner Resale,4837,Won
2022-02-09,CB-1000269,427.42,Wholesale,Partner Resale,7030,Won
2022-02-10,CB-1000141,600.00,Enterprise,Cloud Services,4871,Pending
2022-02-10,CB-1000147,824.86,Enterprise,Cloud Services,7030,Pending
2022-02-10,CB-1000204,166.40,Consumer,Mobile Plans,7030,Lost
2022-02-10,CB-1000237,476.61,Wholesale,Bulk Voice,4870,Pending
2022-02-10,CB-1000273,151.76,Wholesale,IoT SIM,4871,Open
2022-02-11,CB-1000184,558.10,Enterprise,Platform API,4870,Won
2022-02-11,CB-1000202,311.35,Consumer,Mobile Plans,4870,Won
2022-02-11,CB-1000243,357.96,Wholesale,Bulk Voice,4863,Pending
2022-02-12,CB-1000168,651.86,Enterprise,Managed Support,4863,Open
2022-02-12,CB-1000189,136.46,Consumer,Mobile Plans,4855,Won
2022-02-12,CB-1000215,301.26,Consumer,Streaming Add-on,7030,Pending
2022-02-12,CB-1000248,274.84,Wholesale,Bulk Voice,4855,Pending
2022-02-12,CB-1000252,545.42,Wholesale,Bulk Voice,7030,Open
2022-02-12,CB-1000266,386.03,Wholesale,Partner Resale,4863,Pending
2022-02-12,CB-1000275,426.20,Wholesale,IoT SIM,4871,Lost
2022-02-13,CB-1000194,246.86,Consumer,Mobile Plans,4870,Won
2022-02-13,CB-1000200,257.13,Consumer,Mobile Plans,7030,Lost
2022-02-13,CB-1000206,192.42,Consumer,Mobile Plans,4855,Open
2022-02-13,CB-1000229,134.42,Consumer,Device Protection,4871,Lost
2022-02-14,CB-1000153,622.70,Enterprise,Cloud Services,7030,Pending
2022-02-14,CB-1000170,688.87,Enterprise,Managed Support,7030,Pending
2022-02-14,CB-1000173,882.31,Enterprise,Platform API,7030,Lost
2022-02-14,CB-1000219,373.74,Consumer,Device Protection,7030,Lost
2022-02-14,CB-1000221,276.30,Consumer,Device Protection,4855,Lost
2022-02-14,CB-1000224,137.98,Consumer,Device Protection,4837,Lost
2022-02-14,CB-1000226,211.04,Consumer,Device Protection,7030,Pending
2022-02-14,CB-1000253,298.91,Wholesale,Bulk Voice,4870,Lost
2022-02-15,CB-1000142,637.59,Enterprise,Cloud Services,4837,Won
2022-02-15,CB-1000149,510.99,Enterprise,Cloud Services,7030,Lost
2022-02-15,CB-1000156,637.29,Enterprise,Managed Support,4837,Won
2022-02-15,CB-1000172,458.07,Enterprise,Managed Support,4855,Lost
2022-02-15,CB-1000272,349.25,Wholesale,IoT SIM,7030,Lost
2022-02-15,CB-1000281,636.20,Wholesale,IoT SIM,7030,Won
2022-02-16,CB-1000151,796.88,Enterprise,Cloud Services,4837,Pending
2022-02-16,CB-1000193,240.10,Consumer,Mobile Plans,7030,Won
2022-02-16,CB-1000196,144.69,Consumer,Mobile Plans,4871,Won
2022-02-16,CB-1000209,292.45,Consumer,Streaming Add-on,4870,Lost
2022-02-16,CB-1000211,161.61,Consumer,Streaming Add-on,4855,Pending
2022-02-16,CB-1000249,246.32,Wholesale,Bulk Voice,4871,Lost
2022-02-17,CB-1000145,531.51,Enterprise,Cloud Services,7030,Lost
2022-02-17,CB-1000162,227.94,Enterprise,Managed Support,4871,Open
2022-02-17,CB-1000178,294.82,Enterprise,Platform API,4863,Lost
2022-02-17,CB-1000227,262.20,Consumer,Device Protection,4871,Lost
2022-02-17,CB-1000230,233.99,Consumer,Device Protection,4863,Lost
2022-02-17,CB-1000239,264.68,Wholesale,Bulk Voice,4871,Won
2022-02-17,CB-1000254,439.99,Wholesale,Partner Resale,4863,Won
2022-02-18,CB-1000152,593.44,Enterprise,Cloud Services,4863,Lost
2022-02-18,CB-1000174,362.97,Enterprise,Platform API,4871,Won
2022-02-18,CB-1000191,171.00,Consumer,Mobile Plans,4837,Pending
2022-02-18,CB-1000201,267.81,Consumer,Mobile Plans,4871,Pending
2022-02-18,CB-1000220,129.48,Consumer,Device Protection,4870,Won
2022-02-18,CB-1000257,291.76,Wholesale,Partner Resale,4871,Lost
2022-02-18,CB-1000267,241.71,Wholesale,Partner Resale,4870,Open
2022-02-18,CB-1000277,206.85,Wholesale,IoT SIM,4863,Lost
2022-02-20,CB-1000150,438.23,Enterprise,Cloud Services,4863,Lost
2022-02-20,CB-1000154,587.94,Enterprise,Managed Support,4855,Won
2022-02-20,CB-1000186,512.09,Enterprise,Platform API,7030,Pending
2022-02-20,CB-1000250,408.66,Wholesale,Bulk Voice,4855,Open
2022-02-20,CB-1000251,359.31,Wholesale,Bulk Voice,4870,Won
2022-02-20,CB-1000255,327.41,Wholesale,Partner Resale,4870,Won
2022-02-20,CB-1000276,366.26,Wholesale,IoT SIM,4870,Lost
2022-02-21,CB-1000140,438.77,Enterprise,Cloud Services,4837,Lost
2022-02-21,CB-1000176,310.56,Enterprise,Platform API,4855,Open
2022-02-21,CB-1000205,209.76,Consumer,Mobile Plans,4837,Won
2022-02-21,CB-1000208,349.04,Consumer,Streaming Add-on,7030,Lost
2022-02-21,CB-1000242,353.31,Wholesale,Bulk Voice,4855,Open
2022-02-21,CB-1000246,308.66,Wholesale,Bulk Voice,7030,Pending
2022-02-22,CB-1000180,258.75,Enterprise,Platform API,4863,Pending
2022-02-22,CB-1000218,244.21,Consumer,Streaming Add-on,4870,Lost
2022-02-22,CB-1000222,152.23,Consumer,Device Protection,4871,Won
2022-02-22,CB-1000261,439.07,Wholesale,Partner Resale,4837,Pending
2022-02-22,CB-1000279,467.13,Wholesale,IoT SIM,4837,Open
2022-02-23,CB-1000135,797.48,Enterprise,Cloud Services,7030,Lost
2022-02-23,CB-1000160,747.28,Enterprise,Managed Support,4837,Won
2022-02-23,CB-1000171,583.63,Enterprise,Managed Support,4870,Won
2022-02-23,CB-1000177,567.73,Enterprise,Platform API,4837,Pending
2022-02-23,CB-1000183,390.14,Enterprise,Platform API,4863,Lost
2022-02-23,CB-1000198,192.40,Consumer,Mobile Plans,4870,Lost
2022-02-23,CB-1000238,448.81,Wholesale,Bulk Voice,4870,Lost
2022-02-24,CB-1000136,445.53,Enterprise,Cloud Services,4870,Lost
2022-02-24,CB-1000144,574.52,Enterprise,Cloud Services,7030,Pending
2022-02-24,CB-1000187,338.26,Consumer,Mobile Plans,4837,Pending
2022-02-24,CB-1000210,254.89,Consumer,Streaming Add-on,4855,Won
2022-02-24,CB-1000212,128.56,Consumer,Streaming Add-on,4870,Lost
2022-02-25,CB-1000146,350.08,Enterprise,Cloud Services,4863,Won
2022-02-25,CB-1000167,737.53,Enterprise,Managed Support,4837,Lost
2022-02-25,CB-1000235,266.61,Wholesale,Bulk Voice,4855,Won
2022-02-25,CB-1000259,633.71,Wholesale,Partner Resale,4870,Pending
2022-02-25,CB-1000282,333.68,Wholesale,IoT SIM,4863,Won
2022-02-26,CB-1000199,149.69,Consumer,Mobile Plans,4855,Pending
2022-02-26,CB-1000236,268.23,Wholesale,Bulk Voice,4837,Won
2022-02-26,CB-1000260,437.76,Wholesale,Partner Resale,4855,Lost
2022-02-27,CB-1000143,719.29,Enterprise,Cloud Services,4870,Pending
2022-02-27,CB-1000161,844.72,Enterprise,Managed Support,7030,Lost
2022-02-27,CB-1000228,151.44,Consumer,Device Protection,4871,Won
2022-02-27,CB-1000244,360.71,Wholesale,Bulk Voice,4855,Lost
2022-02-27,CB-1000270,240.57,Wholesale,IoT SIM,4855,Won
2022-02-27,CB-1000274,340.50,Wholesale,IoT SIM,4855,Pending
2022-02-28,CB-1000165,470.22,Enterprise,Managed Support,4863,Won
2022-02-28,CB-1000169,398.59,Enterprise,Managed Support,4855,Lost
2022-02-28,CB-1000192,299.47,Consumer,Mobile Plans,4837,Pending
2022-02-28,CB-1000216,168.12,Consumer,Streaming Add-on,4863,Lost
2022-02-28,CB-1000240,385.02,Wholesale,Bulk Voice,4855,Pending
2022-02-28,CB-1000280,618.52,Wholesale,IoT SIM,7030,Pending
2022-03-01,CB-1000335,320.54,Consumer,Mobile Plans,4837,Lost
2022-03-02,CB-1000301,831.00,Enterprise,Cloud Services,4870,Lost
2022-03-02,CB-1000336,235.05,Consumer,Mobile Plans,4855,Won
2022-03-02,CB-1000407,446.97,Wholesale,Partner Resale,7030,Lost
2022-03-02,CB-1000418,279.35,Wholesale,IoT SIM,4863,Won
2022-03-03,CB-1000289,497.90,Enterprise,Cloud Services,4870,Lost
2022-03-03,CB-1000345,331.70,Consumer,Mobile Plans,4837,Lost
2022-03-03,CB-1000346,234.56,Consumer,Mobile Plans,4871,Open
2022-03-03,CB-1000406,435.00,Wholesale,Partner Resale,4863,Won
2022-03-03,CB-1000421,322.53,Wholesale,IoT SIM,4863,Won
2022-03-04,CB-1000340,168.70,Consumer,Mobile Plans,4837,Lost
2022-03-04,CB-1000363,250.92,Consumer,Device Protection,4837,Won
2022-03-04,CB-1000417,331.26,Wholesale,IoT SIM,4837,Open
2022-03-05,CB-1000286,317.42,Enterprise,Cloud Services,4863,Won
2022-03-05,CB-1000299,436.21,Enterprise,Cloud Services,4870,Lost
2022-03-05,CB-1000342,160.75,Consumer,Mobile Plans,4863,Lost
2022-03-05,CB-1000352,254.27,Consumer,Streaming Add-on,4870,Lost
2022-03-05,CB-1000382,590.77,Wholesale,Bulk Voice,4870,Won
2022-03-05,CB-1000404,190.38,Wholesale,Partner Resale,4863,Open
2022-03-05,CB-1000424,417.34,Wholesale,IoT SIM,4855,Pending
2022-03-06,CB-1000292,527.30,Enterprise,Cloud Services,4837,Lost
2022-03-06,CB-1000305,455.88,Enterprise,Managed Support,4871,Lost
2022-03-06,CB-1000309,496.59,Enterprise,Managed Support,4871,Won
2022-03-06,CB-1000312,330.27,Enterprise,Managed Support,4855,Won
2022-03-06,CB-1000318,467.69,Enterprise,Managed Support,4863,Open
2022-03-06,CB-1000385,324.34,Wholesale,Bulk Voice,4863,Lost
2022-03-07,CB-1000287,435.78,Enterprise,Cloud Services,4837,Pending
2022-03-07,CB-1000337,182.21,Consumer,Mobile Plans,4863,Open
2022-03-07,CB-1000354,255.29,Consumer,Streaming Add-on,4837,Won
2022-03-07,CB-1000361,329.72,Consumer,Streaming Add-on,7030,Open
2022-03-07,CB-1000365,166.14,Consumer,Device Protection,4871,Pending
2022-03-07,CB-1000399,624.14,Wholesale,Bulk Voice,4870,Pending
2022-03-07,CB-1000400,475.32,Wholesale,Partner Resale,4863,Lost
2022-03-07,CB-1000425,314.43,Wholesale,IoT SIM,4870,Pending
2022-03-08,CB-1000295,495.32,Enterprise,Cloud Services,4837,Lost
2022-03-08,CB-1000328,567.04,Enterprise,Platform API,7030,Lost
2022-03-08,CB-1000350,233.78,Consumer,Mobile Plans,4863,Lost
2022-03-08,CB-1000378,152.77,Consumer,Device Protection,4837,Won
2022-03-09,CB-1000283,347.62,Enterprise,Cloud Services,4871,Won
2022-03-09,CB-1000316,309.99,Enterprise,Managed Support,4871,Lost
2022-03-09,CB-1000330,372.07,Enterprise,Platform API,4871,Lost
2022-03-09,CB-1000364,185.19,Consumer,Device Protection,4863,Won
2022-03-09,CB-1000369,397.12,Consumer,Device Protection,7030,Won
2022-03-09,CB-1000372,236.90,Consumer,Device Protection,4871,Lost
2022-03-09,CB-1000391,627.56,Wholesale,Bulk Voice,7030,Lost
2022-03-10,CB-1000296,620.79,Enterprise,Cloud Services,4855,Lost
2022-03-10,CB-1000297,490.40,Enterprise,Cloud Services,4863,Won
2022-03-10,CB-1000310,618.19,Enterprise,Managed Support,4870,Won
2022-03-10,CB-1000334,637.47,Enterprise,Platform API,4837,Lost
2022-03-10,CB-1000351,149.55,Consumer,Mobile Plans,4855,Won
2022-03-10,CB-1000353,326.41,Consumer,Streaming Add-on,7030,Won
2022-03-10,CB-1000388,582.41,Wholesale,Bulk Voice,4837,Won
2022-03-11,CB-1000284,494.55,Enterprise,Cloud Services,4837,Lost
2022-03-11,CB-1000308,551.55,Enterprise,Managed Support,4837,Lost
2022-03-11,CB-1000321,492.75,Enterprise,Managed Support,4855,Lost
2022-03-11,CB-1000357,308.32,Consumer,Streaming Add-on,4863,Won
2022-03-11,CB-1000408,449.64,Wholesale,Partner Resale,4863,Open
2022-03-12,CB-1000285,551.13,Enterprise,Cloud Services,4871,Won
2022-03-12,CB-1000288,430.47,Enterprise,Cloud Services,4871,Open
2022-03-12,CB-1000303,345.66,Enterprise,Cloud Services,4871,Open
2022-03-12,CB-1000322,408.99,Enterprise,Managed Support,4870,Won
2022-03-12,CB-1000398,484.51,Wholesale,Bulk Voice,4863,Won
2022-03-12,CB-1000423,594.86,Wholesale,IoT SIM,4870,Won
2022-03-13,CB-1000294,305.78,Enterprise,Cloud Services,4855,Lost
2022-03-13,CB-1000338,262.88,Consumer,Mobile Plans,4855,Lost
2022-03-13,CB-1000347,114.40,Consumer,Mobile Plans,4855,Pending
2022-03-13,CB-1000355,185.76,Consumer,Streaming Add-on,4871,Won
2022-03-13,CB-1000414,268.55,Wholesale,Partner Resale,4837,Open
2022-03-13,CB-1000428,211.09,Wholesale,IoT SIM,4863,Pending
2022-03-14,CB-1000298,518.65,Enterprise,Cloud Services,4837,Open
2022-03-14,CB-1000356,147.75,Consumer,Streaming Add-on,4871,Won
2022-03-14,CB-1000359,119.29,Consumer,Streaming Add-on,4837,Lost
2022-03-14,CB-1000383,610.10,Wholesale,Bulk Voice,4870,Open
2022-03-14,CB-1000386,254.44,Wholesale,Bulk Voice,4855,Lost
2022-03-14,CB-1000402,387.39,Wholesale,Partner Resale,4863,Lost
2022-03-14,CB-1000412,373.05,Wholesale,Partner Resale,4871,Open
2022-03-14,CB-1000416,355.17,Wholesale,IoT SIM,4870,Won
2022-03-15,CB-1000304,311.17,Enterprise,Cloud Services,4871,Pending
2022-03-15,CB-1000368,156.40,Consumer,Device Protection,4870,Lost
2022-03-15,CB-1000394,497.98,Wholesale,Bulk Voice,4870,Lost
2022-03-15,CB-1000397,375.54,Wholesale,Bulk Voice,4870,Lost
2022-03-16,CB-1000373,344.43,Consumer,Device Protection,4837,Lost
2022-03-17,CB-1000290,457.59,Enterprise,Cloud Services,7030,Lost
2022-03-17,CB-1000323,684.66,Enterprise,Platform API,4837,Open
2022-03-17,CB-1000324,576.54,Enterprise,Platform API,4870,Won
2022-03-17,CB-1000349,117.65,Consumer,Mobile Plans,4863,Lost
2022-03-17,CB-1000377,162.68,Consumer,Device Protection,4855,Open
2022-03-17,CB-1000380,480.41,Wholesale,Bulk Voice,7030,Won
2022-03-18,CB-1000291,418.37,Enterprise,Cloud Services,4871,Pending
2022-03-19,CB-1000393,660.94,Wholesale,Bulk Voice,7030,Open
2022-03-19,CB-1000396,617.73,Wholesale,Bulk Voice,7030,Won
